,price,description,locations,titles,target,labelled,websites,index
24,700.0,two furnished room are available for rent the main floor for girl only this bedroom house with one and half washroom kitchen living dining room room have big window all utility detail ,mississauga peel region,    room rental roommate mississauga peel region two rooms for rent main floor victoria park finch 1599564523 two rooms for rent main floor victoria park finch ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/two-rooms-for-rent-on-main-floor-victoria-park-finch/1599564523,24
25,900.0,master bedroom available new furnished and clean house from 1st feb house will shared with young indian professional washroom shared only with professional walkable distance detail ,mississauga peel region,    room rental roommate mississauga peel region fully furnished master bedroom near square one clean house 1599564198 fully furnished master bedroom near square one clean house ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/fully-furnished-master-bedroom-near-square-one-in-a-clean-house/1599564198,25
26,199000.0,quiet modern and undeniably stylish the modern urban town are the perfect complement north york’ intimate residential enclave along victoria park which will short minute walk the detail ,city toronto,    house for sale city toronto urban townhomes victoria village 100k credit closing 1599564003 urban townhomes victoria village 100k credit closing ,house,0,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/urban-townhomes-in-victoria-village-100k-credit-on-closing/1599564003,26
27,200.0,the house recently built and rental private room very well furnished this place ideal for professional working downtown toronto student studying university toronto ryerson detail ,city toronto,    room rental roommate city toronto well furnished bright room nearby downtown toronto 1599563889 well furnished bright room nearby downtown toronto ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/well-furnished-bright-xl-room-nearby-downtown-toronto/1599563889,27
28,300000.0,free assignment islington rutherford vaughan few unit remaining occupancy september 2022 free parking spot included all unit have massive private terrace ranging from 300sqft 700sqft detail ,mississauga peel region,    house for sale mississauga peel region new urban townhomes woodbridge only 25k deposit 1599563828 new urban townhomes woodbridge only 25k deposit ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/new-urban-townhomes-in-woodbridge-only-25k-deposit/1599563828,28
29,900.0,furnished room for full time professional student available now quiet downsview neighborhood can rented for short and long term will available march 2022 welcome well detail ,city toronto,    room rental roommate city toronto furnished room the house girls house 1599563419 furnished room the house girls house ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-in-the-house-girls-house/1599563419,29
30,300000.0,detached assignment sale available oakville closing april 2022 burnhamthrope and 6th line size 3100 serious inquiry pls 647 402 4100 only direct buyer pls pic are for detail ,oakville halton region,    house for sale oakville halton region detached assignment sale available oakville clos apr2022 1599563413 detached assignment sale available oakville clos apr2022 ,house,0,https:/www.kijiji.ca/v-house-for-sale/oakville-halton-region/detached-assignment-sale-available-in-oakville-clos-apr2022/1599563413,30
31,200000.0,assignment sale for estate property lot size 120 available closing sep 2022 april 2023 price from for lot brampton estate one are for kleinburg starting from lot detail ,mississauga peel region,    house for sale mississauga peel region assignment sales for estate properties brampton kleinburg 1599563171 assignment sales for estate properties brampton kleinburg ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/assignment-sales-for-estate-properties-in-brampton-kleinburg/1599563171,31
32,900.0,large bedroom furnished with queen bed available for rent january 2022 adjacent washroom for almost exclusive use free free parking all inclusive are small quiet clean detail ,markham york region   ,    room rental roommate markham york region room for rent family house 1599562873 room for rent family house ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/markham-york-region/room-for-rent-in-a-family-house/1599562873,32
33,730.0,bedroom for rent available the upper floor house quiet neighborhood girl preferred close westwood mall shared with others none smoker only street parking available detail ,mississauga peel region,    room rental roommate mississauga peel region room for rent 1597076248 room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-rent/1597076248,33
34,700.0,upper beach – available january 1st furnished room for female student young working female great house utility and wireless high speed included gourmet kitchen landscaped back yard detail ,city toronto,    room rental roommate city toronto upper beach room great house 1596060684 upper beach room great house ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/upper-beach-room-in-great-house/1596060684,34
35,450.0,minute walk bramalea city centre and bus station upstairs master bedroom girl only house big window lot space shared living and large kitchen includes utility internet laundry detail ,mississauga peel region,    room rental roommate mississauga peel region shared room for girls walk bramalea bus terminal 1599562680 shared room for girls walk bramalea bus terminal ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/shared-room-for-3-girls-walk-to-bramalea-bus-terminal/1599562680,35
36,189000.0,stunning bright well maintained 1br bath detached home finished basement hardwood laminate floor through out main and 2nd flr 9ft ceiling open concept lay out kitchen breakfast detail ,markham york region   ,    house for sale markham york region bdrm bth 9th line hwy schedule appt 1599559870 bdrm bth 9th line hwy schedule appt ,house,0,https:/www.kijiji.ca/v-house-for-sale/markham-york-region/4-bdrm-4-bth-9th-line-hwy-7-schedule-appt/1599559870,36
37,500.0,bedroom available sharing with girl bedroom upper level house immediately please contact for more 437 237 9390 detail ,mississauga peel region,    room rental roommate mississauga peel region room available for sharing 1599559768 room available for sharing ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-available-for-sharing/1599559768,37
38,650.0,beautifully upgraded semi detached house castlemore and clarkway brampton available from january 1st minute away from vaughan bolton and woodbridge close all amenity such detail ,mississauga peel region,    room rental roommate mississauga peel region house for rent 1599559681 house for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/house-for-rent/1599559681,38
39,50.0,furnished room for rent bedroom house for people student profesional worker main intersection queen drinkwater nearby frescho india frootland and bus stop member already living detail ,mississauga peel region,    room rental roommate mississauga peel region room for rent 1599559099 room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-rent/1599559099,39
40,200.0,short term rental bedroom living space own kitchen bathroom move asap unfurnished step away from coxwell subway stn fridge stove electric baseboard heater utility included detail ,city toronto,    short term rental city toronto beds bath house short term rental available coxwell gerrard 1599558793 beds bath house short term rental available coxwell gerrard ,house,0,https:/www.kijiji.ca/v-short-term-rental/city-of-toronto/2-beds-1-bath-house-short-term-rental-available-coxwell-gerrard/1599558793,40
41,200.0,short term rental full house with finished basement plus bedroom plus bathroom utility and internet included available from january 2022 reference and credit check required first last detail ,oakville halton region,    short term rental oakville halton region short term house rental months utilities included 1599558634 short term house rental months utilities included ,house,0,https:/www.kijiji.ca/v-short-term-rental/oakville-halton-region/short-term-house-rental-2-6-months-utilities-included/1599558634,41
42,899000.0,welcome heritage town gorgeous bed den bath approx 1500 living space 240 roof top terrace incredible view downtown skyline gas bbq connection load natural detail ,city toronto,    house for sale city toronto new bedroom bth toronto 1599557958 new bedroom bth toronto ,house,0,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/new-bedroom-3-bth-toronto/1599557958,42
43,450.0,brampton upstair sharing bedroom available for rent big house female only environment bovaird and airport road area big plaza and bus stop are front the house crime free and very detail ,mississauga peel region,    room rental roommate mississauga peel region room for girls airport bovaird best 1599556376 room for girls airport bovaird best ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-girls-airport-rd-bovaird-best-location/1599556376,43
44,700.0,upper beach – available january 1st furnished room for female student young working female great house utility and wireless high speed included gourmet kitchen landscaped back yard detail ,city toronto,    room rental roommate city toronto upper beach room great house 1596060684 upper beach room great house ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/upper-beach-room-in-great-house/1596060684,44
45,999999.0,stunning 3bdrm home quiet cul sac fabulous meadowvale ideal minute lisgar stn hwy 401 407 plum tree school dist new community center upgraded top bottom home detail ,mississauga peel region,    house for sale mississauga peel region must see bdrm bth mississauga 1599554110 must see bdrm bth mississauga ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/must-see-4-bdrm-3-bth-in-mississauga/1599554110,45
46,879900.0,lot unit block unit 1501 project name symphony parkside town floor plan porter address 250 harmony oshawa type townhouse bedroom bathroom closing july 2022 total detail ,oshawa durham region,    house for sale oshawa durham region assignment sale symphony towns oshawa 1599553662 assignment sale symphony towns oshawa ,house,0,https:/www.kijiji.ca/v-house-for-sale/oshawa-durham-region/assignment-sale-symphony-towns-in-oshawa/1599553662,46
47,400.0,space available for 1girl near sheridan college sharing with another girl it 3bhk house with washroom please for more info rent 400 plus utility extra thanks detail ,mississauga peel region,    room rental roommate mississauga peel region room for girl sharing february 1st 1599553630 room for girl sharing february 1st ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-1-girl-in-sharing-february-1st/1599553630,47
48,650.0,beautiful spacious room single occupancy the upper level available house located brampton available immediately indian vegetarian female only the room ha built closet and detail ,mississauga peel region,    room rental roommate mississauga peel region beautiful room for rent 1599553482 beautiful room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/beautiful-room-for-rent/1599553482,48
49,600.0,one private bedroom bedroom hall kitchen house fully furnished with sofa and queen size bed room house ha washroom parking available minute kennedy subway station rent detail ,city toronto,    room rental roommate city toronto room for rent 1599553315 room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1599553315,49
50,750.0,looking for girl rent very nice and clean room detached house near don mill and finch the house located right front seneca college minute walk the entrance door seneca detail ,city toronto,    room rental roommate city toronto private room near seneca college 1599553205 private room near seneca college ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room-near-seneca-college/1599553205,50
51,50.0,there room available rent female only house located very close downtown prime and quiet south hill neighborhood near intersection avenue clair one the nicest and safest detail ,city toronto,    room rental roommate city toronto female only house clean beautiful room near downtown uoft 1599552541 female only house clean beautiful room near downtown uoft ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/female-only-house:-clean-beautiful-room-near-downtown-uoft/1599552541,51
52,609000.0,for full information and picture copy and paste the link below new tab ml 40195848 ravine drive need amazing detail ,city toronto,    house for sale city toronto desirable low traffic street mature neighbourhood bed 1599541254 desirable low traffic street mature neighbourhood bed ,house,0,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/desirable-low-traffic-street-in-mature-neighbourhood-3-bed/1599541254,52
53,750.0,one upstairs bedroom semi detached house for rent share with female house mate for bathroom kitchen spacious sunny living room with big french window stainless steel appliance detail ,oakville halton region,    room rental roommate oakville halton region charming upstairs bedrm close sheridan 1599551702 charming upstairs bedrm close sheridan ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/oakville-halton-region/charming-upstairs-1-bedrm-close-to-sheridan/1599551702,53
54,980000.0,assignment sale spacious for bigger family tentative closing april 2022 onwards bedroom washroom 2042 story townhome corner unit 401 harmony maintenance fee 135 month detail ,oshawa durham region,    house for sale oshawa durham region assignment sale oshawa townhouse corner unit 1599551626 assignment sale oshawa townhouse corner unit ,house,0,https:/www.kijiji.ca/v-house-for-sale/oshawa-durham-region/assignment-sale-oshawa-townhouse-corner-unit/1599551626,54
55,849900.0,assignment sale detached home ravine lot park facing ✽ below 850k bonus low deposit structure bonus free assignment bonus ✽ free upgrade detail ,mississauga peel region,    house for sale mississauga peel region under 850k assignment sale detached corner lot park facing 1599551473 ♦under 850k assignment sale detached corner lot park facing ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/under-850k-assignment-sale-detached-corner-lot-park-facing/1599551473,55
56,600.0,detached house available starting 1st jan2022 for rent for month lease bradford car parking plus bedroom bathroom house all utility paid the tenant house front detail ,markham york region   ,    short term rental markham york region det house avlbl for rent months lease bradford 1599050057 det house avlbl for rent months lease bradford ,house,0,https:/www.kijiji.ca/v-short-term-rental/markham-york-region/det-house-avlbl-for-rent-on-6-9-months-lease-in-bradford/1599050057,56
57,760.0,located m3n 1p2 north york near york uni single occupancy room basement house subway minute pioneer village ttc doorstep shared washroom kitchen nice clean spacious room detail ,city toronto,    room rental roommate city toronto all inclusive room close amenities 1588283062 all inclusive room close amenities ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/all-inclusive-room-close-to-amenities/1588283062,57
58,760.0,available starting sep 27th subway minute pioneer village ttc doorstep located m3n 1p2 north york near york uni single occupancy room basement house shared washroom kitchen detail ,city toronto,    room rental roommate city toronto large all inclusive room 1590814401 large all inclusive room ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-all-inclusive-room/1590814401,58
59,500000.0,investor buyer would you like make 000 000 profit before closing get the benefit gta hot real estate market and future price appreciation pre construction townhomes semi detail ,mississauga peel region,    house for sale mississauga peel region ajax brand new townhomes semis for sale from 700s 1599549152 ajax brand new townhomes semi for sale from 700 ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/ajax-brand-new-townhomes-semis-for-sale-from-700s/1599549152,59
60,400.0,whole house 3400 utility excluded it bedroom house rent start from jan onwards alcohol drug and pet are not allowed interested kindly contact the following number detail ,mississauga peel region,    room rental roommate mississauga peel region 4bedroom house for rent brampton 1599549050 4bedroom house for rent brampton ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/4bedroom-house-for-rent-in-brampton/1599549050,60
61,775.0,there single room family house near university toronto minute street car walk you have access fully equipped kitchen the rent includes electricity water and detail ,city toronto,    room rental roommate city toronto room lovely family house downtown 1599548845 room lovely family house downtown ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/a-room-in-lovely-family-house-downtown/1599548845,61
62,499786.0,view virtual tour gorgeous starlane corner home only year old stone finish ceiling main 2nd bsmt pot light california shutter main floor office stained oak stair detail ,oakville halton region,    house for sale oakville halton region dundas trafalgar 1599548787 dundas trafalgar ,house,0,https:/www.kijiji.ca/v-house-for-sale/oakville-halton-region/dundas-trafalgar-rd/1599548787,62
63,945000.0,asking 945k minto oakvillage dundas and trafalgar stacked townhouse for sale assignment occupancy end september 2022 1395 square foot bedroom bath one parking private rooftop terrace detail ,mississauga peel region,    house for sale mississauga peel region minto oakvillage bedroom townhouse for sale 1599548240 minto oakvillage bedroom townhouse for sale ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/minto-oakvillage-3-bedroom-townhouse-for-sale/1599548240,63
64,500.0,furnished room one for 500 the other 550 house near upper middle and trafalgar with wifi share kitchen laundry bathroom parking you need parking call some one ela 365 338 1722 detail ,oakville halton region,    room rental roommate oakville halton region room for rent oakville 1599547091 room for rent oakville ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/oakville-halton-region/room-for-rent-oakville/1599547091,64
65,500.0,sharing bedroom for rent brampton room available immediately from january 2022 shared bathroom shared kitchen rent 500 person bus stop front house shopping mall and grocery detail ,mississauga peel region,    room rental roommate mississauga peel region sharing bedroom for rent brampton 1599546365 sharing bedroom for rent brampton ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/sharing-bedroom-for-rent-in-brampton/1599546365,65
66,850.0,room upstairs house mavis burnhamthorpe close sq1 are available from january 2022 850 month pretty new window and facility granite counter top shared one kitchen one bathroom with detail ,mississauga peel region,    room rental roommate mississauga peel region one room house mavis burhamthorpe 1599545735 one room house mavis\burhamthorpe ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/one-room-in-a-house-mavis-burhamthorpe/1599545735,66
67,200.0,beautiful detached house prime castlemore and hwy available february 1st perfect for family small group professional bed and bath parking detail ,mississauga peel region,    room rental roommate mississauga peel region bedrooms bath detached house for rent 1599545535 bedrooms bath detached house for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/4-bedrooms-3-bath-detached-house-for-rent/1599545535,67
68,750.0,move date jan 1st finch and victoria park apache trail north york close seneca college close all amenity only for iniduals semi detached house with four bedroom close finch detail ,city toronto,    room rental roommate city toronto rooms for rent 1599545533 rooms for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/rooms-for-rent/1599545533,68
69,750.0,quite house right next bus stop min finch subway station m2r2k8 full bathroom shared with other guy kitchen with all utility laundry site fastest detail ,city toronto,    room rental roommate city toronto room for rent main floor bathurst finch 750 1598966372 room for rent main floor bathurst finch 750 ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-on-main-floor-bathurst-finch-750/1598966372,69
70,725.0,looking for male female tenant rent well lit clean bedroom month month basis furnished yes with mattress chair and study table utility included wifi washer dryer hydro detail ,city toronto,    room rental roommate city toronto bedroom available bhk house for rent starting january 1599545235 bedroom available bhk house for rent starting january ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-bedroom-available-in-a-3-bhk-house-for-rent-starting-january/1599545235,70
71,699000.0,welcome this beautiful bed bath freehold townhouse ajax highbush community this home feature laminate flooring through out beautifully painted wall walk out deck from dining detail ,city toronto,    house for sale city toronto finch altona 1599544993 @ finch altona ,house,0,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/finch-altona/1599544993,71
72,500.0,bedroom washroom house available brampton available from jan indian preferred rent 2500 intrstd kindly watspp 2898094715 detail ,mississauga peel region,    room rental roommate mississauga peel region bedroom house available brampton 1599543522 bedroom house available brampton ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/3-bedroom-house-available-in-brampton/1599543522,72
73,740.0,room for rent available from january 2022 newly renovated kitchen washroom and room separate entrance clean house huge kitchen min the humber college bus minute walk detail ,city toronto,    room rental roommate city toronto room for rent etobicoke 1599543502 room for rent etobicoke ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-in-etobicoke/1599543502,73
74,400.0,bedroom washroom house for rent brampton available from jan indian preferred rent 3400 parking available interested kindly watspp 2898094715 detail ,mississauga peel region,    room rental roommate mississauga peel region bedroom house brampton for rent 1599543341 bedroom house brampton for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/4-bedroom-house-in-brampton-for-rent/1599543341,74
75,450.0,shared accommodation available shared room for student bright clean and well maintained basement shared room located prime brampton raylawson blvd and oaklea blvd house detail ,mississauga peel region,    room rental roommate mississauga peel region shared room accommodation available for students near sheridan 1599543122 shared room accommodation available for students near sheridan ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/shared-room-accommodation-available-for-students-near-sheridan/1599543122,75
76,600.0,furnished room for rent house shared with small family couple with year boy for girl only it included everything utility wifi and washer dryer add extra for car parking washroom detail ,mississauga peel region,    room rental roommate mississauga peel region room for rent furnished with car parking only for girls 1599542739 room for rent furnished with car parking only for girls ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/1-room-for-rent-furnished-with-1-car-parking-only-for-girls/1599542739,76
77,700.0,the room detached house second floor min walking distance yonge sheppard subway station min walking distance sheppard yonge bus station supermarket restaurant ravine and detail ,city toronto,    room rental roommate city toronto furnished bedroom near yonge sheppard station start jan 700 1599541807 furnished bedroom near yonge sheppard station start jan 700 ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-bedroom-near-yonge-sheppard-station-start-jan-700/1599541807,77
78,850.0,room for rent available upper house minute walk sheridan college from feb 1st just behind the shopper world and really close bus terminal and all amenity detail ,mississauga peel region,    room rental roommate mississauga peel region room for rent near sheridan college minutes walk shoppers 1599541749 room for rent near sheridan college minutes walk shoppers ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-rent-near-sheridan-college-5-minutes-walk-to-shoppers/1599541749,78
